date,url,title,address
"March 20, 2026",https://whatnow.com/phoenix/restaurants/james-beard-winning-chef-to-open-lupe-in-phoenix/,James Beard Winning Chef to Open Lupe in Phoenix,"2814 N 16th St, Phoenix, AZ 85006"
"March 20, 2026",https://whatnow.com/washington-dc/restaurants/alfies-nearing-dc-return/,Alfie’s Nearing DC Return,"1228½ 31st St. NW, Washington DC, 20007"
"March 20, 2026",https://whatnow.com/detroit/restaurants/5th-street-burger-to-make-michigan-debut-in-kalamazoo-this-year/,5th Street Burger and Fries to Make Michigan Debut in Kalamazoo This Year,"3023 Oakland Dr, Kalamazoo, MI 49008"
"March 20, 2026",https://whatnow.com/new-york/restaurants/celestine-owners-to-open-new-mexican-restaurant-in-dumbo/,Celestine Owners to Open New Mexican Restaurant in Dumbo,"5 Front St, Brooklyn, NY 11201"
"March 20, 2026",https://whatnow.com/jacksonville/restaurants/popular-taco-concept-to-open-its-largest-jacksonville-location/,Popular Taco Concept to Open Its Largest Jacksonville Location,"9711 Applecross Rd, Jacksonville, FL 32222, United States"
"March 20, 2026",https://whatnow.com/atlanta/restaurants/porterhouse-grill-expanding-to-third-location/,Porterhouse Grill Expanding To Third Location | What Now Atlanta,"3333 Buford Dr, Buford, GA 30519"
"March 20, 2026",https://whatnow.com/phoenix/restaurants/ace-of-wingz-is-expanding-to-peoria-with-more-on-the-way/,Ace of Wingz is Expanding to Peoria With More on the Way,"13875 N 83rd Ave, Peoria, AZ 85381"
"March 20, 2026",https://whatnow.com/boston/restaurants/marlboroughs-chill-kitchen-bar-to-open-second-location-in-the-westborough-shopping-center/,Marlborough's Chill Kitchen & Bar to Open Second Location in the Westborough Shopping Center,"32A Lyman St, Westborough, MA 01581"
"March 20, 2026",https://whatnow.com/los-angeles/restaurants/cafe-cuate-eyeing-space-along-long-beach-boulevard/,Café Cuate Eyeing Space Along Long Beach Boulevard | What Now Los Angeles,"240 Long Beach Blvd, Long Beach, CA 90802"
"March 20, 2026",https://whatnow.com/columbus/restaurants/rooh-in-short-north-adding-morning-cafe-addition-next-month/,Rooh in Short North Adding Morning Cafe Addition Next Month,"685 N High St, Columbus, OH 43215"
"March 20, 2026",https://whatnow.com/atlanta/restaurants/spice-atlanta-planning-spring-opening-in-midtown/,SPICE Atlanta Planning Spring Opening In Midtown | What Now Atlanta,"1230 W Peachtree St NW, Atlanta, GA 30309"
