date,title,address,url
"May 17, 2026",Popular Jonesboro Chain Plans New Location,"5307 E Highland Dr, Jonesboro, AR 72401",https://whatnow.com/memphis/restaurants/popular-jonesboro-chain-plans-new-location/
"May 17, 2026",Ovoka Farm Invites Virginians to Indulge in Wagyu and Wine,"750 Gap Run Rd, Paris, VA 20130",https://whatnow.com/washington-dc/restaurants/ovoka-farm-invites-virginians-to-indulge-in-wagyu-and-wine/
"May 15, 2026",Taiwanese Tea House CHICHA San Chen Expanding to Cambridge's Harvard Square,"1 Brattle Square, Cambridge, MA 02138",https://whatnow.com/boston/restaurants/taiwanese-tea-house-chicha-san-chen-expanding-to-cambridges-harvard-square/
"May 15, 2026",The Artist Table Plans Next Chapter,,https://whatnow.com/memphis/restaurants/the-artist-table-plans-next-chapter/
"May 15, 2026",Andy’s Pizza Headed to Union Station,"50 Massachusetts Ave NE, Washington, DC 20002",https://whatnow.com/washington-dc/restaurants/andys-pizza-headed-to-union-station/
"May 15, 2026",Mesón to take over Three One Four Pizzeria location in Berkley,"1329 Gilman St, Berkeley, CA 94706",https://whatnow.com/san-francisco/restaurants/meson-to-take-over-three-one-four-pizzeria-location-in-berkley/
"May 15, 2026",Fanoos Grills Planning Possible Bay Area Expansion After San Francisco Opening,"411 Columbus Ave, San Francisco, CA 94133,",https://whatnow.com/san-francisco/restaurants/fanoos-grills-planning-possible-bay-area-expansion-after-san-francisco-opening/
"May 15, 2026",Aviator’s Restaurant is Expected to Reopen in 2027,"6151 Freeport Blvd, Sacramento, CA 95822",https://whatnow.com/sacramento/restaurants/aviators-restaurant-is-expected-to-reopen-in-2027/
"May 15, 2026",Häagen-Dazs to Open Wynwood Ice Cream Shop,"50 NW 24th St, Miami, FL 33127",https://whatnow.com/miami/restaurants/haagen-dazs-to-open-wynwood-ice-cream-shop/
"May 15, 2026",Black Bear Diner to Open in Grand Prairie,"3715 S State Hwy 161, Grand Prairie, TX 75052",https://whatnow.com/dallas/restaurants/black-bear-diner-to-open-in-grand-prairie/
"May 15, 2026",Chef Mike Cordero’s Newest Venture Capellini’s Classic Italian Headed to Ashburn,"22850 Brambleton Plaza, Ashburn, VA 20148",https://whatnow.com/washington-dc/restaurants/chef-mike-corderos-newest-venture-capellinis-classic-italian-headed-to-ashburn/
"May 15, 2026",Graze Craze Expanding Canadian Presence,"312 Grays Rd, Hamilton, ON L8E 1V5, Canada",https://whatnow.com/toronto/restaurants/graze-craze-expanding-canadian-presence/
"May 15, 2026",Popeyes Continues Greater Boston Growth With Upcoming Brighton Restaurant,"470 Washington St, Brighton, MA 02135",https://whatnow.com/boston/restaurants/popeyes-continues-greater-boston-growth-with-upcoming-brighton-restaurant/
"May 15, 2026",Amor y Magia Opening in Carlsbad This Summer,"505 Oak Ave c, Carlsbad, CA 92008",https://whatnow.com/san-diego/restaurants/amor-y-magia-opening-in-carlsbad-this-summer/
"May 15, 2026",Biscuit Belly to Open First Columbus Location in Grandview With Southern-Inspired Craft Casual Concept,"1417 W 5th Ave, Columbus, OH 43212, USA",https://whatnow.com/columbus/restaurants/biscuit-belly-to-open-first-columbus-location-in-grandview-with-southern-inspired-craft-casual-concept/
"May 15, 2026",Project LeanNation Headed to Orlando,"12490 Lake Underhill Rd, Orlando, FL 32828",https://whatnow.com/orlando/restaurants/project-leannation-headed-to-orlando/
"May 15, 2026",Diadem Pickleball Complex Expanding to Wellington and Beyond,"10570 Forest Hill Blvd, Wellington, FL 33414",https://whatnow.com/miami/restaurants/diadem-pickleball-complex-expanding-to-wellington-and-beyond/
"May 15, 2026",50’s Diner Opening in Dowdy Plaza,"7223 International Dr, Orlando, FL 32819",https://whatnow.com/orlando/restaurants/50s-diner-opening-in-dowdy-plaza/
"May 15, 2026",Charcoal Group Planning Major Ontario Expansion With Five New Restaurants,,https://whatnow.com/toronto/restaurants/charcoal-group-planning-major-ontario-expansion-with-five-new-restaurants/
"May 15, 2026",New Wingstop Planned for Daytona Beach,"2427 N Atlantic Ave #13, Daytona Beach, FL 32118",https://whatnow.com/orlando/restaurants/new-wingstop-planned-for-daytona-beach/
"May 15, 2026","Frosti Ice Cream to Open with Ice Cream, Milkshakes, and More","606 N State St, Bunnell, FL 32110",https://whatnow.com/jacksonville/restaurants/frosti-ice-cream-to-open-with-ice-cream-milkshakes-and-more/
"May 15, 2026",Pear Plum Opening Downtown in 2027,"101 Island Ave, San Diego, CA 92101",https://whatnow.com/san-diego/restaurants/pear-plum-opening-downtown-in-2027/
"May 15, 2026",The Restaurant People to Open Naia on Las Olas Boulevard,"904 E Las Olas Blvd, Fort Lauderdale, FL 33301",https://whatnow.com/miami/restaurants/the-restaurant-people-to-open-naia-on-las-olas-boulevard/
