Store,Analyst,Type,Title,Link,Published,Summary
Autozone,Komal Agrawal,Closing,Georgia Business Focus: Major projects and new restaurants bring jobs and growth to Middle Georgia - 41NBC News,https://news.google.com/rss/articles/CBMihAFBVV95cUxPeEZVSUNQTk5WMUxpWkp3aUIxNXctMGFwWnVjU2JHSnhzUkg4U2tLUmN2Z1NpUk9XVWJ6cUtrQjlIdE5FUUdDaE5kNDNUVHU2Q3RESmRacjgyVVZBWVlIN21lZjNlN2lCLXpPTnp1X2tYZWxkdnNkTF9SaHpuSlc0Mjd6V2U?oc=5,"Fri, 10 Apr 2026 20:19:18 GMT",Georgia Business Focus: Major projects and new restaurants bring jobs and growth to Middle Georgia 41NBC News
Walgreens,Komal Agarwal,Closing,Walgreens and 9 Other Major Stores That Are Closing in April - AOL.com,https://news.google.com/rss/articles/CBMic0FVX3lxTE5wM3V0X2pnYVRKMlE5cVdUQS1DT192VEVkdUZkVEtmaGliYnZ3U001SmN5MjZzM3VmVExQZWpQUnpjU2VYUmx4TlVscjRzWFJadlhVUVltUHhpWjNMX2FuTlNDbVlxVEI1Y3MwSlBEUngzNzQ?oc=5,"Sat, 11 Apr 2026 05:26:50 GMT",Walgreens and 9 Other Major Stores That Are Closing in April AOL.com
HomeGoods,Bhavesh Phulwani,Opening,HomeGoods Opens in Georgetown TX at Cedar Breaks West Shopping Center | 4.23.26 - Hello Georgetown,https://news.google.com/rss/articles/CBMi2gFBVV95cUxNNncyTHNMTHQxYXJDMkF0dVd5b3F2TzBvVXMtdjZpUTZpelJhaFFkRjRNTjd5S2xib3ZyZDRiVnBzNXFyb2VhS3NnTEtRQVhBQTF0LW9FQUpVLTQ5aFQ4N2tNalZRTDZqdm9FbC0ybGVwWUdSemxrbG9lYVZIVnZ4dUJsZXVsYkZpZVB2UUs0RTJ6TGlMak81Ym5paUV4QXpWSVZIU2xqOF9qWWM4ZmFFNE9GMTByODdmTXBaY0RFZFlZdHh0SUNyMlF4WERkeUkwUzBHM1Z2bU9yQQ?oc=5,"Sat, 11 Apr 2026 18:04:39 GMT",HomeGoods Opens in Georgetown TX at Cedar Breaks West Shopping Center | 4.23.26 Hello Georgetown
HomeGoods,Bhavesh Phulwani,Opening,HomeGoods plans to open new Oswego store by Christmas - Shaw Local,https://news.google.com/rss/articles/CBMirwFBVV95cUxQTE1jV1g4Q1dCTm0zU2tKTVpSVWx2WE95QUhvNjgzMmpUZzNEX1NRYUctYWxITUJmTDBYYzRmTlFMWTh0Q3BjUXMzSU1YVEVRcW5KRDZPSm42WWdSd1VyQUFGSmFETk1Ib05Tc1l1Nmg1ZUxwNW5oOF9OTHI4N0tLOFlCUUQtQzdBMmF3aG1SRmJLMTVUY0h5Z1BsUjhnSjRMTXROazRoVWExa3d0QThB?oc=5,"Fri, 10 Apr 2026 17:05:00 GMT",HomeGoods plans to open new Oswego store by Christmas Shaw Local
Marshalls,Bhavesh Phulwani,Opening,Final hours until Marshalls ‘sister store’ opens massive new location - the-sun.com,https://news.google.com/rss/articles/CBMihwFBVV95cUxNaUI0TWJNUFptU2U4R2tYNE5ZSDZ3aUR4QkI4dm9PRE5lNTdwUE1UQ19ybzlNMXU4Yl9BWTRnYWF1M0VnbXhhZ1N0ZDRlY0VoVDdOdHdJQ2dWbEZoSEppYXV0Ry1aNTljeURwbXBnREw3b01BeFg4XzZ2M2xaQjBVTUNIdVpPaWs?oc=5,"Sat, 11 Apr 2026 22:33:56 GMT",Final hours until Marshalls ‘sister store’ opens massive new location the-sun.com
O'Reilly Auto Parts,Bhavesh Phulwani,Opening,Just Updated: New businesses coming to West Georgia - The City Menus,https://news.google.com/rss/articles/CBMiXEFVX3lxTE1zNm9RT3VDeGM5SnROMW4ySFg4Y3N4QkJWRkhIUDMyMW5Ha2dJTndNaU42dzAxVWxoYVh1SFVxZV9hNGxLUW8zYVU2NDJfdE1fNjZZRVJBblVVVVg5?oc=5,"Fri, 10 Apr 2026 07:00:00 GMT",Just Updated: New businesses coming to West Georgia The City Menus
T.J. Maxx,Dhiraj Manghani,Closing,End of the road for TJ Maxx ‘sister store’ as popular location to close after 10 years - the-sun.com,https://news.google.com/rss/articles/CBMiigFBVV95cUxPUk40cVJINmR4TU9hNEZ6NDBhQWZwSjFTN3RGMk5ZY0FCZkMybzJSY2trTlI4a1N6NDZjUW5fTm1TNjNKTmtxcWpaWEdQeG1yX2tGVlVEUzhjZ3lfdU1vZXNSZVZQQk5iRmxJSjdZM2NzMGotelVMQXl5TXpyNjlMSW9obnZ4akh2YVE?oc=5,"Fri, 10 Apr 2026 16:17:40 GMT",End of the road for TJ Maxx ‘sister store’ as popular location to close after 10 years the-sun.com
CVS,Dhiraj Manghani,Closing,CVS Closing Hundreds Of Stores Across US - MSN,https://news.google.com/rss/articles/CBMi6ANBVV95cUxOZV9selBXOTE1VEd0OGRVN3VhQXI0cGttU05FbDMtV1pVMnVyNUJFWlhBbEhmRGNfOV9pUEZYUW9pWmw2YXk3RkJhUTludFVUTnB4MTNRUWJIelpEb0JhTmN5RU1fMExJcnEyU1NHNmRCY1dNdHFyQkdfcFVSeUVEbGMyQWE1ZHpFNEJWZERlMHBLSFRXQjhwOTd2ejU3N0dDZUFscHMweVlDN0pMVE9HOWtvdEszRm9XTFZhTzN2Zmxnby16UEtxT1A1dzVjNWEyaHlUWHpOVGFWVWJwc3Rqd3pZckRvZVFRNjZVREdYamxyUFRFTDdoTW84Z3A1eXE1SXlTN3hrbllpUkxJSnRiWl9oMUJVY0RiVFpaSG9EeFJxbnVkUTI4QmttWGNycmFFNFRlQUNyWUFJU0pMRjBGd2xRaWp4RXFoYVV4dVljR2twMThoWnNaY0p3djRqRjQwN0s2OVMtQWU5blJabjBSbzJRcXpkdGVhREl6YlAtYmlkUjJJYWpQUlZMTzgwMzAzQ2k3aVQ2VFZ5VW5KbHp6NVd1Tm9oRDNiMmdxclNIT3daQlV0YmJsNTB4M1pvTFRiZmxIOFF5amphbFc3SzVoNVI1b0FwTUVrYmp6cUtDWWRnSC14T1dRYg?oc=5,"Fri, 10 Apr 2026 11:36:50 GMT",CVS Closing Hundreds Of Stores Across US MSN
Target,Vishwas Shah,Closing,Man City 'closing in' on Man Utd transfer target who has Arsenal tattoo on his arm - The Mirror,https://news.google.com/rss/articles/CBMinAFBVV95cUxNQTI1enRVd3lFcnkxMnI4c21TQllDdkh4WlBubG0tZUI2TE5fYU80cmpodDJTZkhIYjgwQUN2NHdmdVN4M0N6Y212empWQWtmY0NhY3RQX0xKQmlyVmpGTDBjZDlpRk9JZnpiSUVWSkNxUmNhYS1BUUZPWTV6eV9nc3ZxSjlBRmFSX1VZakFnMVJfN2oxamUtRXk1alLSAaIBQVVfeXFMTjhPbFBUeWRlZ0oxZmdtbEEtSjZTTlZxdUlWRHJveDJ6ZXlRQ0NFQ01zekJpcWgyekUycmxPUTduMW5hUGppZVoxbTNOcUpNZHI1STNlRzdKbEhnRHVSSDlTRzVac1pJWEhTaE54aER3bkl1QVVpaFoxclpFWmZDLVI0b2h2MVlWZi1MZEwxczBVWXZlWVdmZHFHdnRnaVUzZUpn?oc=5,"Fri, 10 Apr 2026 12:42:00 GMT",Man City 'closing in' on Man Utd transfer target who has Arsenal tattoo on his arm The Mirror
Pet Planet,Vishwas Shah,Opening,UK pet shop collapses into administration - in business for 27 years - Daily Express,https://news.google.com/rss/articles/CBMihAFBVV95cUxQbFN3cGxjWUJwZlNMYUtOTE1UUFFTZEpxOTAwNlNvbEd5eDRTLVgxRUVEdTZSN0N1NDRObHo5Si1TY1Zya0hNRDhfMTJtUHIyM2pGcHNMRXJOOWJTcG5yTHZXcTlMSkdUY1NXMWZPODEzX1pqWTdEclZjTVJWNXdSTkw5Y1_SAYoBQVVfeXFMUGVfbndqX3h5UGVsSy1sdG04RmxjQjBMOXJhdmtOYzZxNG13OXV6aGhSaHEtWm85U0xSVDNQdWNPYWhUOG9RbVZxUk8zbTJ0ZnZCLVZVVG9la0RjWXJoSVhpakk3UW51VENFbW1rV0VHZzNwVHRzOHoxajY0cXd0bS1FdmFWN0M1UjlB?oc=5,"Fri, 10 Apr 2026 07:59:00 GMT",UK pet shop collapses into administration - in business for 27 years Daily Express
