Store,Analyst,Industry,Type,Title,Link,Published,Summary
BJ's Wholesale Club,Ashwin Nair,Mass Merchandisers,Opening,"BJ’s Wholesale Club To Open Location In Grand Prairie, TX - The Shelby Report",https://news.google.com/rss/articles/CBMimwFBVV95cUxPWEdBbV8xaGIwX215MmFmSVlMQTdiN1VmRzc5NTU5RzBlYnBOS3BiNHpRTVY4bWFSV29zVG5RQjBETHhIRWk3R3BJMS10ZHVQVW5YVnBXVHpkM0FkZmV0Q0FGbTJnY0E0NHNGOVVJQTdmOThNY0V5MFBzcWFGdWJtaW1VZExub3RrZXBCOUZoVExRRGZTbDVkUF9FSQ?oc=5,"Tue, 12 May 2026 15:30:31 GMT","BJ’s Wholesale Club To Open Location In Grand Prairie, TX The Shelby Report"
Burlington Stores,Ashwin Nair,Mass Merchandisers,Opening,Burlington Stores May Have Secured ~20% Of Its 2027 New Store Openings In A Single Transaction - Substack,https://news.google.com/rss/articles/CBMie0FVX3lxTE9yT0ZZekhZVlF5TXFQbVJiZURSMzQ3djEwRGNQRzBCOVM1TTh4WVQ3OU96NUhBbTVaaVNBNzRXNGdUd1RBNlJhaFB3a2lsUlF2Mm9rTzk5QVVEY0t0TExUWkRIdFVIakJBM0JKMXlvUWdjaU1DdmMtcHktbw?oc=5,"Wed, 13 May 2026 17:58:08 GMT",Burlington Stores May Have Secured ~20% Of Its 2027 New Store Openings In A Single Transaction Substack
Burlington Stores,Ashwin Nair,Mass Merchandisers,Opening,Burlington Set to Open Quakertown Store in Richland Marketplace This Summer - WhatNow,https://news.google.com/rss/articles/CBMitwFBVV95cUxPbHRva2JfWDlvVS0zZHJSMDA4LTNrVnV1aGFjTnJRUlJEWHhjaHdMYXNPaERQZ0o5YWh2TVdlSlg0d2NzRTJyNk03SFV5YXFfUEpJMldjSFA1WTJnQXFhWmVpMldYX3ZLVk9LNEd6U0VGZG43Q1lkQ0N5Szh4YndQRENSVkJwdVQwcUh3WnFyNU5EV0VHT1hkb19lQW1vcHYycl95emxLa20xUmtlSWZiM0dCY1BIeVE?oc=5,"Tue, 12 May 2026 17:34:59 GMT",Burlington Set to Open Quakertown Store in Richland Marketplace This Summer WhatNow
Burlington Stores,Ashwin Nair,Mass Merchandisers,Opening,Burlington prepares to launch 2 stores in NJ - NJBIZ,https://news.google.com/rss/articles/CBMib0FVX3lxTE1MbzFPamdRVV9WT1p5eWJtN1VOQmFrMlQzdnI3TmNCOW5sTVhKN0lLQ1BJaGFaOXpOVlFLWDJ3YmFFclZpU0dhZHZyaWtGVzFmVF9KTm5tdFVRV1JQV253aTcyaGNCZmF6MnFWa05fTQ?oc=5,"Tue, 12 May 2026 16:35:31 GMT",Burlington prepares to launch 2 stores in NJ NJBIZ
Dick's Sporting Goods,Ashwin Nair,Mass Merchandisers,Closing,Foot Locker Closing Stores In Major Shakeup: 'Clean Out The Garage' - MSN,https://news.google.com/rss/articles/CBMizwJBVV95cUxNcmx0YW1BeDhXQXFrM2xHb3RtekFacmlKbXNLX1hrLXZMQldnckljbm9rYllLYlNvLUFndzQ0Qm5KVTF4dXBNT1diT1VBbUoxNmZ3ZGc5OWdpMVowQUFMNHVrLVRpQnhkQktLWVBxcHhVd0RUVVByT0JpT3BuQVBkRWdadGNhTC1XZlo1cjBYbnRWeVRNcjVGMmloYjVhTXl6WkY5Y2JEa2lSbXEzT25MWHZpX3N2ako4bjdSOTNKQVhhazFLdUEzUGVjdnVCc1hUaGJFbF80bzdERThtSWpaSnlrMy1KT2E1a1UzQnZrc2d2aTNkSDVFSGdEUVVoaGNHVVRsSmlmUGpVMVV5bUw4SndYQUIzT3VrMnBzYUhTaG40dFBGNkhac253Z0J0UWp4a3d2WWtZeXdrNjNKRHdrR0lqV3llWS1iMlZNMXZDOA?oc=5,"Tue, 12 May 2026 02:56:48 GMT",Foot Locker Closing Stores In Major Shakeup: 'Clean Out The Garage' MSN
Dollar Tree,Ashwin Nair,Mass Merchandisers,Closing,Say goodbye to Family Dollar as 15 locations permanently wiped off the map - the-sun.com,https://news.google.com/rss/articles/CBMijgFBVV95cUxNc2RlcmUtM3dNY2cxWHRxTmtZS2R1RTJmdko1LXdDSE1ONHFfV2kwUS0zam01S19xeUNXbDVDZEpBb1ZFR2FwUjZvQVd1Ykc0LWw4T1lPaVlkSE5OVTF4YTg1QUhTVnNEQnhtRklJVlpPVlE5alViQ0tjZkR5b2I4NS1VNVFjTzlxNlZpY0lR?oc=5,"Tue, 12 May 2026 16:50:30 GMT",Say goodbye to Family Dollar as 15 locations permanently wiped off the map the-sun.com
Dollar Tree,Ashwin Nair,Mass Merchandisers,Closing,Dollar Tree and Starbucks are suddenly opening hundreds of new stores as retail doom stories pile up - Fast Company,https://news.google.com/rss/articles/CBMi0wFBVV95cUxNaHQyRFNBNjdGYjBWMFYwV21jekFobV9WSlhMYnR4SmFWRnl1aV95UlNmNnlIaC1yVW5zTy1hbW1xVGRiem5RUVRpNk9KcHRlRXB4ZVJST2U5R1k5eURoNno4RGkyaGpyeWFRTWEzeXYwcUMyMmN3dXlIc1NhU1FMSUdvV1RkNHFxVnB1WFlvQnNoVm41YUtUMXVZaUVlQTNVZ050SG91ZUhmU29mY0tZcTJ0SDhwc1plSGxvb2Y0NXEwNnB4eV8yMUZNc2lrOGVZRjNj?oc=5,"Tue, 12 May 2026 14:07:41 GMT",Dollar Tree and Starbucks are suddenly opening hundreds of new stores as retail doom stories pile up Fast Company
Autozone,Komal Agrawal,Mass Merchandisers,Closing,AutoZone stock (US0533321024): Recent 1.86% drop amid NYSE trading - AD HOC NEWS,https://news.google.com/rss/articles/CBMiyAFBVV95cUxPa3lxUkFkcXZOWmRyNkZlUGc5LUh5VFhBSGN3c2Fxa2dZVXVKa21STEc2LWZnVmw5M2FDMWd2bG9iX3hqQllWSDc4UjB6dlM0dFlPMXZTejg5anVZRmlfOEY0MVhIa3cwY1VxUkswalB1aWplTVNpQlJSR21oN1p4SkFSVnptaEJKeUdrSUdnSzZsWDZEamJZaW1tVkNtU0stei1hc1BoOVg4YlhWTFlfSU9IZTFQd3JXOXV5WG1kaFN2bGR3Z0c3Tg?oc=5,"Tue, 12 May 2026 18:34:23 GMT",AutoZone stock (US0533321024): Recent 1.86% drop amid NYSE trading AD HOC NEWS
Walgreens,Komal Agrawal,Drug Retailers,Opening,"Goodwill snaps up former Walgreens location - sprawling 13,000-square-foot store opens May 13 - the-sun.com",https://news.google.com/rss/articles/CBMimwFBVV95cUxPTVpjNnREZE9aelVNYkFmZUlKN0JEMlY1QjloY2hxUHZ1Vkl0LVlERW1YeGE2by1hRkptdFJqQUd4MURZUERoZUJkTHRCRG9uWGhId2F4SWZQbVJEakdoc3lLUFE4RmhfdnRoeTdUa05mMTlGM2pHLWRlMkQ4OHN3TEdPOWhkcmp5WmFVcWc1ZjVUdnZvdXdyeE95RQ?oc=5,"Tue, 12 May 2026 14:00:24 GMT","Goodwill snaps up former Walgreens location - sprawling 13,000-square-foot store opens May 13 the-sun.com"
Harveys Supermarket,Komal Agrawal,Grocery,Closing,Will Harveys Supermarket be saved from closing? - The Florida Times-Union,https://news.google.com/rss/articles/CBMixAFBVV95cUxNNk5RX3ZyT1p3SnN0ZURFTGl0UjQzeUctWUlBb0ZPTFkyTEJrX2V2cWtLczZWbDZLV242aU1qU0pXaG5iQkx5MWMwU1JkYllPcFNDNDFqcU9Sci03aTQ3cFYteEl2VmYyN1o3MldZb0luSGhoTlBoaG0xSzR1X1hOQlFKSHdxeTBSVElzNTVYbDEycF96dDlNMXdVU05mazUyRVVUQUxqRElGTTVWN05TMWFfVnN3SkV4UDJNNE5oUGQ0UHg4?oc=5,"Wed, 13 May 2026 20:13:50 GMT",Will Harveys Supermarket be saved from closing? The Florida Times-Union
