heading,date,link,Date_Appended
EAST LONGMEADOW SCOOP: Two new restaurants proposed in East Longmeadow!,2026-05-06,https://www.theconnecticutscoop.com/all-mass-posts/east-longmeadow-scoop-two-new-restaurants-proposed-in-east-longmeadow,2026-05-06
WEST HARTFORD SCOOP: New matcha & dessert shop coming to WeHa,2026-05-06,https://www.theconnecticutscoop.com/all-hartford-county-posts/west-hartford-scoop-new-matcha-dessert-shop-coming-to-weha,2026-05-06
MANSFIELD SCOOP: Dad's Doughs closing Mansfield doughnut shop,2026-05-06,https://www.theconnecticutscoop.com/all-tolland-county-posts/mansfield-scoop-dads-doughs-closing-mansfield-doughnut-shop,2026-05-06
CHESHIRE SCOOP: Seafood & Steakhosue coming to The Shops at Stone Bridge!,2026-05-06,https://www.theconnecticutscoop.com/all-new-haven-county-posts/cheshire-scoop-seafood-steakhosue-coming-to-the-shops-at-stone-bridge,2026-05-06
MILFORD SCOOP: New tenants coming soon to Connecticut Post Mall!,2026-05-05,https://www.theconnecticutscoop.com/all-new-haven-county-posts/milford-scoop-new-tenants-coming-soon-to-connecticut-post-mall,2026-05-06
WATERBURY SCOOP: New restaurant coming soon to Chase Avenue,2026-05-05,https://www.theconnecticutscoop.com/all-new-haven-county-posts/waterbury-scoop-new-restaurant-coming-soon-to-chase-avenue,2026-05-06
"NEWINGTON SCOOP: Ross Dress for Less officially coming to Newington, Plaza receives new name!",2026-05-05,https://www.theconnecticutscoop.com/all-hartford-county-posts/newington-scoop-ross-dress-for-less-officially-coming-to-newington-plaza-receives-new-name,2026-05-06
NEW HAVEN SCOOP: Papa's Loca sets opening date in New Haven,2026-05-04,https://www.theconnecticutscoop.com/all-new-haven-county-posts/new-haven-scoop-papas-loca-sets-opening-date-in-new-haven,2026-05-04
HARTFORD SCOOP: The Portrait at North Crossing is now leasing!,2026-05-04,https://www.theconnecticutscoop.com/all-hartford-county-posts/hartford-scoop-the-portrait-at-north-crossing-is-now-leasing,2026-05-04
WETHERSFIELD SCOOP: Ortigia Ristorante proposed in Historic Wethersfield!,2026-05-04,https://www.theconnecticutscoop.com/all-hartford-county-posts/wethersfield-scoop-ortigia-ristorante-proposed-in-historic-wethersfield,2026-05-04
NEW LONDON SCOOP: New speakeasy & restaurant with live entertainment planned in New London!,2026-05-04,https://www.theconnecticutscoop.com/all-new-london-county-posts/new-london-scoop-new-speakeasy-restaurant-with-live-entertainment-planned-in-new-london,2026-05-05
MANCHESTER SCOOP: ConnectiCare building up for lease ahead of closure,2026-05-04,https://www.theconnecticutscoop.com/all-hartford-county-posts/manchester-scoop-connecticare-building-up-for-lease-ahead-of-closure,2026-05-04
COLCHESTER SCOOP: Goodwill opening new boutique concept!,2026-05-03,https://www.theconnecticutscoop.com/all-new-london-county-posts/colchester-scoop-goodwill-opening-new-boutique-concept,2026-05-04
HAMDEN SCOOP: Wonder coming soon to Hamden Plaza!,2026-05-03,https://www.theconnecticutscoop.com/all-new-haven-county-posts/hamden-scoop-wonder-coming-soon-to-hamden-plaza,2026-05-04
EAST HARTFORD SCOOP: Demolition begins ahead of large scale development,2026-05-03,https://www.theconnecticutscoop.com/all-hartford-county-posts/east-hartford-scoop-demolition-begins-ahead-of-large-scale-development,2026-05-04
SEYMOUR SCOOP: Big Dipper celebrates grand opening in Seymour,2026-05-02,https://www.theconnecticutscoop.com/all-new-haven-county-posts/seymour-scoop-big-dipper-celebrates-grand-opening-in-seymour,2026-05-04
GLASTONBURY SCOOP: The Shops at Somerset Square welcoming 5 new restaurants and a new tenant!,2026-05-02,https://www.theconnecticutscoop.com/all-hartford-county-posts/glastonbury-scoop-the-shops-at-somerset-square-welcoming-5-new-restaurants-and-a-new-tenant,2026-05-04
