Store,Analyst,Type,Title,Link,Published,Summary
Barnes and Noble,Ashwin Nair,Opening,Barnes & Noble to empty out entire store as liquidation sales are up to 50% off - The US Sun,https://news.google.com/rss/articles/CBMigwFBVV95cUxOZUVmNnRyRlFXcnFuR0h6c2NSMWlIbEUwRlA1UllpcTRrSjVWTUpXdm1HSldhUnREbzVOZjlGNlZjWDJidzV5RDdOaFdkVTBVdzQ5YXVyR3JIcnNGWjJES19KQ2dUdk5LbGhNM3NrTHhCaFFjQ3htb1hpTFc0cjNOY296Yw?oc=5,"Fri, 27 Mar 2026 18:07:14 GMT",Barnes & Noble to empty out entire store as liquidation sales are up to 50% off The US Sun
Barnes and Noble,Ashwin Nair,Closing,Barnes & Noble to empty out entire store as liquidation sales are up to 50% off - The US Sun,https://news.google.com/rss/articles/CBMigwFBVV95cUxOZUVmNnRyRlFXcnFuR0h6c2NSMWlIbEUwRlA1UllpcTRrSjVWTUpXdm1HSldhUnREbzVOZjlGNlZjWDJidzV5RDdOaFdkVTBVdzQ5YXVyR3JIcnNGWjJES19KQ2dUdk5LbGhNM3NrTHhCaFFjQ3htb1hpTFc0cjNOY296Yw?oc=5,"Fri, 27 Mar 2026 18:07:14 GMT",Barnes & Noble to empty out entire store as liquidation sales are up to 50% off The US Sun
BJ's Wholesale Club,Ashwin Nair,Closing,Assessing BJ's Wholesale Club (BJ) Valuation After Recent Share Price Momentum And Growth Plans - simplywall.st,https://news.google.com/rss/articles/CBMi7AFBVV95cUxOTGpQT05YNmFHeFk3R2JUaGRYNTJySDJLYUtwV2dPQ3pFaW1QaC1CRklWWVBFZm1aZU1IaThyVnNqVWpfVHhfQ0N3am0xTTc4UzJTRkdvM2JIYTJMUElXTFVMTXlRM2owOXVRQllISDRFX2psZnFmZk9Jd1MyMXBhZGZLYk5FSlZ4NWtkek9MakF4SUdhNW5Edzdjb3ZFZFhZODJYWmdSaTJBWnZtbU1zd3VTRU5YRnpBRGVySTByYVIzSS1JcTREeEpDZkhISUh6aDhFdlNINmtKXzJjTms1cjZ3SDBCVTNtODRradIB7AFBVV95cUxOTGpQT05YNmFHeFk3R2JUaGRYNTJySDJLYUtwV2dPQ3pFaW1QaC1CRklWWVBFZm1aZU1IaThyVnNqVWpfVHhfQ0N3am0xTTc4UzJTRkdvM2JIYTJMUElXTFVMTXlRM2owOXVRQllISDRFX2psZnFmZk9Jd1MyMXBhZGZLYk5FSlZ4NWtkek9MakF4SUdhNW5Edzdjb3ZFZFhZODJYWmdSaTJBWnZtbU1zd3VTRU5YRnpBRGVySTByYVIzSS1JcTREeEpDZkhISUh6aDhFdlNINmtKXzJjTms1cjZ3SDBCVTNtODRraQ?oc=5,"Fri, 27 Mar 2026 05:16:15 GMT",Assessing BJ's Wholesale Club (BJ) Valuation After Recent Share Price Momentum And Growth Plans simplywall.st
Burlington Stores,Ashwin Nair,Opening,Burlington to open new store at Hudson Mall in Jersey City - NJBIZ,https://news.google.com/rss/articles/CBMidkFVX3lxTE5fM3ZvUDUwVm9QdVJDUzBjelNyWDZUazZfXzJ1T0dCVmhRckJ5Ui1uOU1IMjZGX2VUMGNnMXJSY0hwQnI5SGxqR0xZbi0ybE82aGJ4ZmtFTVd5ckwxNFpmTksxTENwMlhVNS1ZWEg2eHBBSm1GMHc?oc=5,"Fri, 27 Mar 2026 15:43:41 GMT",Burlington to open new store at Hudson Mall in Jersey City NJBIZ
Dollar Tree,Ashwin Nair,Closing,Discount chain closes over 75 stores and raises prices - thestreet.com,https://news.google.com/rss/articles/CBMijAFBVV95cUxPd181SEp0NXEtTWkyRWJDUFc4QVdZTFpIT3RkOVJNSy1ibWNnWjhCUkdrTGFFVmc1UjI3cDh0aDJkakJrQWxVOFJPQXJVOFJJQzYzaTZZX0t4OXoyWWtLb1NIS3RzRm5ZdVJuSWc3QklzYnRQM0FtZVZzOS04SDhxRUpoR0lWNkM5ckJ2UQ?oc=5,"Fri, 27 Mar 2026 13:29:32 GMT",Discount chain closes over 75 stores and raises prices thestreet.com
Publix Super Markets,Ashwin Nair,Opening,"Publix Adds to Footprint With New Store Openings in Tennessee, Florida - progressivegrocer.com",https://news.google.com/rss/articles/CBMikgFBVV95cUxNN2JmSE9DTDRiYXpKS2pzcjBGU0tQc25STXREWmJtRjhiT19WcVNtSEF2aXllYlNoZGJWd3p4UnpWR2xCZGU4WGZHMzBIMTAzQzdrckZRcFBTUXE1WkZRWE93ZEFLZy0wbVdqcnc1bmFfY09zZ0dibk93RkRzdzlPUFhiZU9RNXRpaU55ekt6RldIQQ?oc=5,"Thu, 26 Mar 2026 19:54:46 GMT","Publix Adds to Footprint With New Store Openings in Tennessee, Florida progressivegrocer.com"
Walgreens,Komal Agarwal,Closing,Next to close: Central District’s Walgreens at 23rd and Jackson - CHS Capitol Hill Seattle News,https://news.google.com/rss/articles/CBMiqAFBVV95cUxNcldqdTJkVE5IVUVBR290M2dMckc4a3BKNHBJSll2SC1pVlpobkc5MXdLWkVxMkdtRUptUnZuTktmMXhBblp1cnhjd2RmeHVsZlBTNUI5VndKb2diU0hBaFpYczFfZkczdkYtajRKeDh1cW5kVWZWSS1vZ1VQNkw3T0NCQ3dPdV9WaDJSTmJ5N0pqVE4xZlR0eWRXWUd5MXdrRmFERDd4LWM?oc=5,"Thu, 26 Mar 2026 17:14:38 GMT",Next to close: Central District’s Walgreens at 23rd and Jackson CHS Capitol Hill Seattle News
BP,Komal Agarwal,Opening,"New Convenience Store Proposed for Campbell St in Jackson, Tennessee - talknwesttn.com",https://news.google.com/rss/articles/CBMikwFBVV95cUxQanNYcHdhalI4VVF4QjhjV1Q3RHg1Ri1zVUdGREJGcVpJb1lBWEVNOEtVbHVfVzIxM1pxR0RjOHdya0hmTHhIWjF0NktpcmRERHg4VWtsazNPSzhobnl2aU1YNlNUejBpb3A2a3J3RXFVSVQyZC1xRG9FdGJJcUN1bzNTUzQ2UnBka0o2SzIzT0xzdzg?oc=5,"Thu, 26 Mar 2026 14:10:53 GMT","New Convenience Store Proposed for Campbell St in Jackson, Tennessee talknwesttn.com"
Kohl's,Bhavesh Phulwani,Closing,Kohl’s makes major 2026 decision on store closures - MSN,https://news.google.com/rss/articles/CBMipwFBVV95cUxOYlgweWRPeVdQM0RjeXFNOTVNRmh1YS01eEJ1cG1hWWxWSlBWMHhJQVRpWFA5a1BLd3NYYWJhQ1JabVdscWNMZndueWFhY211SmV5cWQ1MVkyMUdWTThyRVBPLWdjWHNJQzZ4Vk5lLWNXWnpmVnQtS0dVeEhkOW1BeEp6dUd2a3BxcV9DRWFXMk1XX2xkRl9RM1FvbUYxUGd6Wm1EQy1RWQ?oc=5,"Sat, 28 Mar 2026 16:26:58 GMT",Kohl’s makes major 2026 decision on store closures MSN
Marshalls,Bhavesh Phulwani,Opening,"Biz Buzz: Crews break ground on Lilac Field in League City; Burlington, Marshalls head to La Marque - galvnews.com",https://news.google.com/rss/articles/CBMihgJBVV95cUxQOXlKX3c1RU1Ra0pCRFMwdUEweVhnTlhTOURRVE9reXpRZ1p0UmQ4SlRobFQ4WVllY3l2UC01T1JJWlpIYnFQVm05S2R5LW9qdjlxWFFaTjZucEluNWFHQVZyWEJKSlp6UFh4U3g4SjBBUURpdXNXQVM4cTJBNGc2NUNlMzBjUi1reVV1bDloZkVlWWN5eFJZcndEWXJjaTBua051X05URHNlbWQwVFRERXdmYWN0eXZqb00weWctTHd1NFZFaENkZC1xM1oySktMNF9YNDV0UVFrX2xlOTZ2djh4R2J0dTN4ZnZLZ1FEaGtrT1hRREVEeE9UbU93VmJlYmNCNDlB?oc=5,"Sat, 28 Mar 2026 01:00:00 GMT","Biz Buzz: Crews break ground on Lilac Field in League City; Burlington, Marshalls head to La Marque galvnews.com"
