state,company,city,notice_date,layoff_date,employees_affected,closure_type,notes,NAICS  Code,Local Area,Total  Employees,Effective  Date,NOTICE_DATE,JOB_SITE_NAME,COUNTY_NAME,WDA_NAME,TOTAL_LAYOFF_NUMBER,LayOff_Date,WFDD_RECEIVED_DATE,CITY_NAME,zip,lwib_area,address,contact_person,collective_bargaining_unit,type_detail
Alabama,Legacy Supply Chain Operations,Decatur,04/09/2026,06/06/2026,6,closure,,,,,,,,,,,,,,,,,,,
Alabama,Resolute Forest Products,Alpine,03/31/2026,05/24/2026,20,closure,,,,,,,,,,,,,,,,,,,
Alabama,Resolute Forest Products,Coosa Pines,03/31/2026,05/24/2026,255,closure,,,,,,,,,,,,,,,,,,,
Alabama,Louis Vuitton,Birmingham,02/19/2026,02/17/2026,10,closure,,,,,,,,,,,,,,,,,,,
Alabama,Tiffin Motorhomes Incorporated,Winfield,02/05/2026,05/12/2026,139,closure,,,,,,,,,,,,,,,,,,,
Alabama,Southern Parallel Forest Products Corp,Albertville,02/12/2026,04/08/2026,62,closure,,,,,,,,,,,,,,,,,,,
Alabama,Saks Fifth Avenue,Birmingham,02/10/2026,04/11/2026,44,closure,,,,,,,,,,,,,,,,,,,
Alabama,Salon Centric Inc,Mc Calla,01/13/2026,06/30/2026,79,closure,,,,,,,,,,,,,,,,,,,
Alaska,"Chugach Training & Educational Solutions, LLC (CTESL)",Palmer,6/2/25,6/30/25,110,,Loss of Contract,,,,,,,,,,,,,,,,,,
Alaska,"Vigor Alaska, LLC",Ketchikan,5/7/25,Begins 7/7/25 and will be staggered until official closure on 11/30/25,72,,Closure,,,,,,,,,,,,,,,,,,
Alaska,"Natural Fiber Welding, Inc.",Anchorage,12/10/2024,2/8/25,1 Alaska Worker,,Layoff,,,,,,,,,,,,,,,,,,
Alaska,"American Nursery Services, Inc.",Anchorage,9/5/2023,12/31/23,TBA,,Closure,,,,,,,,,,,,,,,,,,
Alaska,Centerra,"Anchorage, Juneau, and Fairbanks",8/10/23,9/30/23,27,,Loss of Contract,,,,,,,,,,,,,,,,,,
Alaska,Technica LLC,Fort Wainwright and Joint Base Elmendorf-Richardson (JBER),7/5/23,9/6/2023,101,,Loss of Contract,,,,,,,,,,,,,,,,,,
Alaska,David's Bridal,Anchorage,4/14/23,June-August 2023,TBA,,Store Closure,,,,,,,,,,,,,,,,,,
Alaska,First Student,Matanuska-Susitna Borough,5/2/22,6/30/22,182,,Loss of contract,,,,,,,,,,,,,,,,,,
Alaska,Bean’s Cafe,Anchorage,9/16/21,9/15/21,40,,Loss of contract,,,,,,,,,,,,,,,,,,
Alaska,Kakivik Asset Mgmt,Prudhoe Bay,7/2/21,8/31/21,134,,Loss of Contract,,,,,,,,,,,,,,,,,,
Alaska,First Student,"Fairbanks, North Pole",4/30/21,6/30/21,185,,Loss of contract,,,,,,,,,,,,,,,,,,
Alaska,GCI Communication Group,Anchorage,4/12/21,August-November 2021,59,,"Business need changes/reorganization; 
 permanent",,,,,,,,,,,,,,,,,,
Alaska,"RavnAir Group, Corvus Airlines, Hageland Aviation Services and Peninsula Aviation Services","Anchorage and 20 smaller Alaska communities, plus Boston, Mass.",9/30/20*,8/7/20,"1,234",,COVID-19; permanent,,,,,,,,,,,,,,,,,,
Alaska,"HMSHost – Ted Stevens Anchorage International Airport restaurants: Starbucks, Humpy’s Great Alaskan Alehouse, Norton Sound Seafood House, Cinnabon, Alaska Doghaus, Cream, Upper One Restaurant/Lounge, Mezzanine Bar, Anchorage Marketplace and Local Alaska Rustic Marketplace",Anchorage,8/12/20,10/15/20,123,,COVID-19; permanent,,,,,,,,,,,,,,,,,,
Alaska,HMSHost – Fairbanks International Airport restaurants: The Local and Starbucks,Fairbanks,8/12/20,10/15/20,19,,COVID-19; permanent,,,,,,,,,,,,,,,,,,
Alaska,Chenega Security and Support Solutions LLC,Shemya Island,7/31/20,9/30/20,64,,,,,,,,,,,,,,,,,,,,
Alaska,Alaska Airlines,Anchorage,7/31/20,10/1/20,331,,Permanent,,,,,,,,,,,,,,,,,,
Alaska,"Holland America Group,Carnival UK,Westmark Hotels, Inc.,Tour Alaska, Inc.,Royal Hyway Tours, Inc.,Anchorage Westmark Hotel,Escorted Tour Operations,Anchorage Transportation,Anchorage Rail Division,Fairbanks Westmark Hotel,Fairbanks Transportation,Westmark McKinley Chalet Resort,Denali Princess Wilderness Lodge,Denali Transportation Division,Healy Homestead","Anchorage,Fairbanks,Denali National Park  andHealy",5/19/20,6/1/20,149,,COVID-19; temporary,,,,,,,,,,,,,,,,,,
Alaska,Doyon Drilling Inc.,North Slope,5/1/20,4/7/20 to 5/31/20,304,,COVID-19; permanent,,,,,,,,,,,,,,,,,,
Alaska,Yukon-Kuskokwim Health Corporation,Bethel and other Y-K Delta communities,4/28/20,4/29/20 to 5/31/20,Up to 300,,COVID-19; permanent,,,,,,,,,,,,,,,,,,
Alaska,Hard Rock Cafe International STP,Anchorage,4/27/20,4/13/20 to 4/27/20,54,,COVID-19; temporary,,,,,,,,,,,,,,,,,,
Alaska,Baker Hughes,North Slope,4/27/20,4/28/20 to 5/11/20,63,,COVID-19,,,,,,,,,,,,,,,,,,
Alaska,Schlumberger Technology Corp.,North Slope,4/22/20,4/22/20 to June 2020,129,,COVID-19,,,,,,,,,,,,,,,,,,
Alaska,Halliburton Energy Services,Prudhoe Bay,4/20/20,4/20/20,80,,,,,,,,,,,,,,,,,,,,
Alaska,Crush Bistro,Anchorage,4/2/20,4/17/20,24,,COVID-19,,,,,,,,,,,,,,,,,,
Alaska,South Restaurant & Coffeehouse,Anchorage,4/2/20,4/17/20,82,,COVID-19,,,,,,,,,,,,,,,,,,
Alaska,Snow City Café,Anchorage,4/2/20,4/17/20,37,,COVID-19,,,,,,,,,,,,,,,,,,
Alaska,Benihana,Anchorage,4/2/20,4/16/20,68,,COVID-19,,,,,,,,,,,,,,,,,,
Alaska,Peak Oilfield Services,"North Slope, Kenai Peninsula, And Valdez",4/1/20,4/1/20 5/31/20,161,,COVID-19,,,,,,,,,,,,,,,,,,
Alaska,Spenard Roadhouse,Anchorage,4/1/20,4/17/20,77,,COVID-19,,,,,,,,,,,,,,,,,,
Alaska,Westmark Anchorage,Anchorage,3/25/20,3/25/20,37,,COVID-19; temporary,,,,,,,,,,,,,,,,,,
Alaska,Alsco,Anchorage,3/25/20,3/25/20,21,,COVID-19; temporary,,,,,,,,,,,,,,,,,,
Alaska,Alyeska Resort,Girdwood,3/18/20,3/19/20,616,,COVID-19,,,,,,,,,,,,,,,,,,
Alaska,British Petroleum,North Slope,12/19/19,2/20/20,345,,Sale of business,,,,,,,,,,,,,,,,,,
Alaska,British Petroleum,Anchorage,12/19/19,2/20/20,287,,Sale of business,,,,,,,,,,,,,,,,,,
Alaska,AECOM,Eielson AFB,12/6/19,1/4/20,160,,End of contract,,,,,,,,,,,,,,,,,,
Alaska,Nordstrom Anchorage,Anchorage,6/26/19,09/13/19,173,,Store closure,,,,,,,,,,,,,,,,,,
Alaska,"Aleut O&M Services, LLC","Clear, AK",7/2/18,8/31/18,74,,Loss of contract,,,,,,,,,,,,,,,,,,
Alaska,BAE Systems,"Clear, AK",6/25/18,8/31/18,101,,Loss of contract,,,,,,,,,,,,,,,,,,
Alaska,"Mistras Group, Inc. and subsidiary Quality Services Laboratories Inc.",Prudhoe Bay/Anchorage,1/23/18,3/31/18,261,,Loss of contract,,,,,,,,,,,,,,,,,,
Alaska,Sam’s Club,Fairbanks,1/11/18,Starting3/16/18,177,,Store closure,,,,,,,,,,,,,,,,,,
Alaska,Sam’s Club,Anchorage on Muldoon Road,1/11/18,Starting3/16/18,167,,Store closure,,,,,,,,,,,,,,,,,,
Alaska,Sam’s Club,Anchorage on Old Seward Hwy.,1/11/18,Starting3/16/18,181,,Store closure,,,,,,,,,,,,,,,,,,
Alaska,Sears Holdings,Anchorage,1/4/18,Starting4/8/18,67,,Store closure,,,,,,,,,,,,,,,,,,
Alaska,"Kodiak Support Services, JV",Kodiak,11/30/17,12/31/17,125,,Loss of contract,,,,,,,,,,,,,,,,,,
Alaska,ASRC Energy Services,"Milne, Endicott, and Northstaron the North Slope",11/28/17,12/18/17 to 12/31/17,92,,Services terminated,,,,,,,,,,,,,,,,,,
Alaska,Norcon,North Slope,5/12/17,Varied,147,,Loss of contract,,,,,,,,,,,,,,,,,,
Alaska,First Student,"Soldotna,Homer & Seward",4/19/17,6/30/17,149,,Loss of contract,,,,,,,,,,,,,,,,,,
Alaska,Parker Drilling,Anchorage/North Slope,3/21/16,March to May2016,55,,Reduction in work,,,,,,,,,,,,,,,,,,
Alaska,CH2M,North Slope,3/17/16,3/31/16,58,,Loss of contract,,,,,,,,,,,,,,,,,,
Alaska,Shell,Anchorage,1/27/16,3/31/16,75,,End of exploration,,,,,,,,,,,,,,,,,,
Alaska,Walmart,Juneau,1/15/16,4/15/16,168,,Store closure,,,,,,,,,,,,,,,,,,
Alaska,ASRC Energy Services,Statewide,11/10/15,11/1/15 to 12/31/15,134,,End of exploration,,,,,,,,,,,,,,,,,,
Alaska,Doyon Universal Services LLC,Anchorage/North Slope,5/10/13,8/15/13,75,,Loss of contract,,,,,,,,,,,,,,,,,,
Alaska,TriWest Healthcare Alliance Corp,Statewide,12/10/12,Varied,31,,Loss of contract,,,,,,,,,,,,,,,,,,
Alaska,CH2M Hill,North Slope,12/20/12,Varied,380,,Loss of contracts,,,,,,,,,,,,,,,,,,
Alaska,Williams Inc.,Juneau,6/30/12,9/2/12,90,,Store closure,,,,,,,,,,,,,,,,,,
Alaska,"Hostess Brands, Inc.",Statewide,5/4/12,11/19/12,90,,Company closure,,,,,,,,,,,,,,,,,,
Alaska,United Parcel Services,Anchorage,3/15/10,various,109,,Restructuring,,,,,,,,,,,,,,,,,,
Alaska,NovaGold,Nome,11/26/08,11/28/08,130,,Lack offinancing,,,,,,,,,,,,,,,,,,
Alaska,Agrium U.S. Inc. Kenai Nitrogen Operations,Kenai,9/26/07,,140,,Lack ofnatural gas,,,,,,,,,,,,,,,,,,
Alaska,Arctec Services,Clear,6/20/06,9/30/06,171,,Loss of contract,,,,,,,,,,,,,,,,,,
Alaska,Chugach Alutiiq Joint Venture,Fort Greely,5/30/06,6/1/06,151,,Loss of contract,,,,,,,,,,,,,,,,,,
Alaska,First Student,Mat-Su,4/10/06,6/30/06,102,,Loss of contract,,,,,,,,,,,,,,,,,,
Alaska,"Johnson's Tire Service, Inc.","Anchorage,Eagle River,Wasilla & Soldotna",2/25/06,4/1/06,100,,Change in ownership only,,,,,,,,,,,,,,,,,,
Alaska,,,,,,,,,,,,,,,,,,,,,,,,,
