state,company,city,notice_date,layoff_date,employees_affected,closure_type,notes,NAICS  Code,Local Area,Total  Employees,Effective  Date,Unnamed: 0,Worker Adjustment and Retraining Notification (WARN) List,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,COUNTY_NAME,WDA_NAME,WFDD_RECEIVED_DATE,zip,lwib_area,address,contact_person,collective_bargaining_unit,type_detail
Alabama,LineQuest LLC,Pelham,04/23/2026,08/01/2026,113,closure,,,,,,,,,,,,,,,,,,,,,
Alabama,Serta Mattress Company,Cullman,04/15/2026,04/17/2026,102,closure,,,,,,,,,,,,,,,,,,,,,
Alabama,Legacy Supply Chain Operations,Decatur,04/09/2026,06/06/2026,6,closure,,,,,,,,,,,,,,,,,,,,,
Alabama,Resolute Forest Products,Alpine,03/31/2026,05/24/2026,20,closure,,,,,,,,,,,,,,,,,,,,,
Alabama,Resolute Forest Products,Coosa Pines,03/31/2026,05/24/2026,255,closure,,,,,,,,,,,,,,,,,,,,,
Alabama,Louis Vuitton,Birmingham,02/19/2026,02/17/2026,10,closure,,,,,,,,,,,,,,,,,,,,,
Alabama,Tiffin Motorhomes Incorporated,Winfield,02/05/2026,05/12/2026,139,closure,,,,,,,,,,,,,,,,,,,,,
Alabama,Southern Parallel Forest Products Corp,Albertville,02/12/2026,04/08/2026,62,closure,,,,,,,,,,,,,,,,,,,,,
Alabama,Saks Fifth Avenue,Birmingham,02/10/2026,04/11/2026,44,closure,,,,,,,,,,,,,,,,,,,,,
Alabama,Salon Centric Inc,Mc Calla,01/13/2026,06/30/2026,79,closure,,,,,,,,,,,,,,,,,,,,,
Alabama,Oerlikon Balzers Coating USA,Pell City,10/30/2025,03/31/2026,8,closure,,,,,,,,,,,,,,,,,,,,,
Alabama,Renfro Brands,Fort Payne,10/28/2025,12/27/2025,455,closure,,,,,,,,,,,,,,,,,,,,,
Alabama,Quest Diagnostics/Pack Health,Birmingham,09/29/2025,11/28/2025,98,closure,,,,,,,,,,,,,,,,,,,,,
Alabama,Magnolia Ridge Center/SunBridge Gardendale Health Care Center LLC,Gardendale,09/15/2025,09/10/2025,103,closure,,,,,,,,,,,,,,,,,,,,,
Alabama,Russell Brands LLC Distribution Center,Alexander City,08/01/2025,09/29/2025,80,closure,,,,,,,,,,,,,,,,,,,,,
Alabama,Federal-Mogul Motorparts LLC,Boaz,07/30/2025,09/25/2025,82,closure,,,,,,,,,,,,,,,,,,,,,
Alabama,Berry Global Inc,Lanett,05/02/2025,07/01/2025,112,closure,,,,,,,,,,,,,,,,,,,,,
Alabama,Grede LLC,Brewton,04/01/2025,05/22/2025,160,closure,,,,,,,,,,,,,,,,,,,,,
