state,company,city,notice_date,layoff_date,employees_affected,closure_type,notes
DC,Elior North America,,"February 2, 2026","June 30, 2026",76,1,
DC,WP Company LLC,,"February 6, 2026","April 10, 2026",277,1,
DC,Albertson's/Safeway,,"March 13, 2026",TBD,87,2,
DC,"Bering Global Solutions, LLC",,"March 13, 2026","March 31, 2026",108,1,
DC,"Golden Services, LLC",,"January 1, 2025","January 31, 2025",43,2,
DC,"Freedom House, Inc",,"February 14, 2025","April 15, 2025",76,1,
DC,United Medical Center,,"February 20, 2025","Various Dates through September 30, 2025",485,2,
DC,ACDI VOCA,,"March 6, 2025","April 2, 2025",109,1,
DC,Dexis Consulting Group,,"March 10, 2025","March 14, 2025 through April 30, 2025",94,1,
DC,IREX,,"March 11, 2025","March 3, 2025",130,1,
DC,Save the Children,,"March 13, 2025","February 28 and March 7 & 14, 2025",116,1,
DC,Institute of International Education,,"March 13, 2025","Various Dates through May 16, 2026",95,1,
DC,Chemonics,,"March 14, 2025","Various Dates through May 30, 2025",500,1,
DC,Cointerpart International,,"March 28, 2025","March 28 through May 31, 2025",64,1,
DC,"Freedom House, Inc.",,"March 28, 2025","May 27, 2025",30,1,
DC,American Federation of Government Employees (AFGE),,"March 31, 2025","May 30, 2025",206,1,
DC,International Republican Institute,,"April 7, 2025","June 6, 2025",246,1,
DC,Family Health International d/b/a FHI360,,"April 9, 2025","May 2, 2025 through May 16, 2026",260,1,
DC,US Conference of Catholic Bishops,,"April 14, 2025","May 30, 2025",39,1,
DC,Institue of International Education,,"April 14, 2025","Various Dates through June 29, 2025",45 (amended),1,
DC,Children's School Services,,"April 25, 2025","June 28, 2025",226,1,
DC,Institue of International Education,,"April 25, 2025","Various Dates through June 29, 2025",63 (amended),1,
DC,Radio Free Asia,,"May 2, 2025","May 9 through September 30, 2025",285,1,
DC,Pact,,"May 13, 2025","June 24,2025",72,1,
DC,"Sodexo Services East, LLC",,"May 15, 2025","August 8, 2025",228,1,
DC,ACDI/VOCA,,"June 4, 2025","August 4, 2025",19,1,
DC,Institue of International Education,,"June 4, 2025","Various Dates through September 28, 2025",54 (amended),1,
DC,"Sodexo, Inc.",,"June 6, 2025","July 31 through August 28, 2025",308,1,
DC,Institue of International Education,,"July 1, 2025","Various Dates through November2, 2025",54 (amended),1,
DC,ACDI VOGA,,"July 2, 2025","September 2, 2025",4,1,
DC,National Association of County and City Health Officials,,"July 30, 2025","September 30, 2025",43,1,
DC,ACDI VOCA,,"July 30, 2025","October 1, 2025",4,1,
DC,Corporation for Public Broadcasting,,"August 1, 2025","September 30, 2025",94,1,
DC,Institue of International Education,,"August 11, 2025","Various Dates through November 2, 2025",46 (amended),1,
DC,Chemonics,,"August 25, 2025","September 30 through September 28, 2025",59,1,
DC,Target,,"August 27, 2025","November 1, 2025",44,2,
DC,ACDI VOCA,,"August 28, 2025","November 3, 2025",5,1,
DC,Institue of International Education,,"September 10, 2025","Various Dates through September 28, 2025",46 (amended),1,
DC,Institue of International Education,,"October 20, 2025","January 4, 2026",24,1,
DC,RATP DEV and Midtown Group,,"October 29, 2025","January 3, 2026",52,2,
