state,company,city,notice_date,layoff_date,employees_affected,closure_type,notes
Ohio,"UPDATED Eagle Machining - First Brands Group, LLC",Fayette/Fulton,1/27/2026 12/29/2025,1/27/2026,251,Closure,Phone: (330) 980-0677 | Union: Y/See WARN | PDF: https://dam.assets.ohio.gov/image/upload/v1769548431/jfs.ohio.gov/warn/WARN%202025/Updated_Eagle_Machining_First_Brands.pdf
Ohio,Cooper Standard,New Lexington/Perry,12/15/2025,02/06/2026-07/01/2027,228,Closure,Phone: (989) 245-7400 | Union: Y/See WARN | PDF: https://dam.assets.ohio.gov/image/upload/v1765893753/jfs.ohio.gov/warn/WARN%202025/CooperStandard.pdf
Ohio,Michigan Sugar Company,Findlay/Hancock,12/11/2025,1/31/2026,4,Closure,Phone: (989) 778-0982 | Union: Y/See WARN | PDF: https://dam.assets.ohio.gov/image/upload/v1765564504/jfs.ohio.gov/warn/WARN%202025/Michigan_Sugar_Company.pdf
Ohio,PK Management,Richmond Heights/Cuyahoga,12/4/2025,2/1/2026,67,Closure,Phone: (864) 242-9988 | Union: N | PDF: https://dam.assets.ohio.gov/image/upload/v1764957000/jfs.ohio.gov/warn/WARN%202025/PKManagement.pdf
Ohio,"American Signature, Inc dba Vaule City Furniture",Columbus/Franklin,11/21/2025,1/20/2026,256,Closure,Phone: (614) 221-9200 | Union: N | PDF: https://dam.assets.ohio.gov/image/upload/v1764010280/jfs.ohio.gov/warn/WARN%202025/AmericanSignatureDBAValueCityFurniture.pdf
Ohio,Phoenix Technologies,Bowling Green/Wood,11/19/2025,11/20/2025,7,Closure,Phone: (419) 353-8856 | Union: N | PDF: https://dam.assets.ohio.gov/image/upload/v1763665597/jfs.ohio.gov/warn/WARN%202025/PhoenixTechnologies.pdf
Ohio,Nordstrom Credit Operations,Pickerington/Fairfield,11/19/2025,2/1/2026,1 remote,Layoff,Phone: (206) 454-1778 | Union: N | PDF: https://dam.assets.ohio.gov/image/upload/v1763665597/jfs.ohio.gov/warn/WARN%202025/NordstromCreditOperations.pdf
Ohio,Giesecke + Devrient ePayments America Inc,Twinsburg/Summit,11/3/2025,01/30/2026-12/30/2026,240,Closure,Phone: (630) 886-5812 | Union: N | PDF: https://dam.assets.ohio.gov/image/upload/jfs.ohio.gov/warn/WARN%202025/GieseckeDevrientePaymentsAmericaInc.pdf
Ohio,Ultium Cells-General Motors,Warren/Trumbull,10/29/2025,1/5/2026,484 Perm Layoffs/850 Temp Layoffs,Layoff,Phone: (731)220-6434 | Union: Y/See WARN | PDF: https://dam.assets.ohio.gov/image/upload/jfs.ohio.gov/warn/WARN%202025/UltiumCellsGeneralMotors.pdf
Ohio,Premier Healthcare Solutions DBA Contigo Health,Summit/Hudson,10/27/2025,12/31/2025 & 01/16/2026,175,Closure,Phone: (704) 816-5478 | Union: N | PDF: https://dam.assets.ohio.gov/image/upload/jfs.ohio.gov/warn/WARN%202025/PremierHealthcareSolutionsDBAContigo.pdf
Ohio,CVS Health-Aetna Medicare Medicaid Program,Unknown City/Unknown Counties,10/17/2025,12/31/2025-03/31/2026,70,Layoff,Phone: (401) 829-0684 | Union: N | PDF: https://dam.assets.ohio.gov/image/upload/jfs.ohio.gov/warn/WARN%202025/CVSHealthAetnaMedicareMedicaidProgram.pdf
Ohio,The Buckeye Ranch DBA Permanent Family Solutions Network,Whitehall/Franklin,10/8/2025,12/1/2025,66,Closure,Phone: (614) 875-2371 | Union: N | PDF: https://dam.assets.ohio.gov/image/upload/jfs.ohio.gov/warn/WARN%202025/PermanentFamilySolutionsNetwork.pdf
Ohio,"Augusta Sportswear, Inc.",Sidney/Shelby,10/8/2025,1/30/2026,58,Closure,Phone: (704) 902-7816 | Union: N | PDF: https://dam.assets.ohio.gov/image/upload/jfs.ohio.gov/warn/WARN%202025/AugustaSportswearInc.pdf
Ohio,Sirna & Sons Produce,Norwalk/Huron,10/2/2025,12/2/2025,45,Closure,Phone: (317) 981-3230 | Union: N | PDF: https://dam.assets.ohio.gov/image/upload/jfs.ohio.gov/warn/WARN%202025/SirnaSonsProduce.pdf
Ohio,MAHLE Thermal and Fluid Systems,Mt. Sterling/Madison,9/30/2025,12/01/2025-08/31/2026,141,Closure,Phone: (740) 572-7869 | Union: N | PDF: https://dam.assets.ohio.gov/image/upload/jfs.ohio.gov/warn/WARN%202025/MAHLEThermalandFluidSystems.pdf
Ohio,TOPS Products,Logan/Hocking,9/24/2025,12/01/2025-04/02/2027,207,Closure,Phone: (630) 306-4559 | Union: N | PDF: https://dam.assets.ohio.gov/image/upload/jfs.ohio.gov/warn/WARN%202025/TOPSProducts.pdf
Ohio,Daniel Drake Center for Post-Acute Care,Cincinnati/Hamilton,9/19/2025 5/29/2025,10/03/2025 & 2026,474,Closure,Phone: (513) 418-8500 | Union: N | PDF: https://dam.assets.ohio.gov/image/upload/jfs.ohio.gov/warn/WARN%202025/UpdatedDanielDrakeCenterforPostAcuteCare2.pdf
Ohio,Essendant,Twinsburg/Summit,9/4/2025,11/7/2025,99,Closure,Phone: (312) 316-4950 | Union: N | PDF: https://dam.assets.ohio.gov/image/upload/jfs.ohio.gov/warn/WARN%202025/Essendant.pdf
Ohio,PSA Airlines,Vandalia/Montgomery,8/29/2025,10/29/2025-04/29/2027,157,Closure,Phone: (704)491-8826 | Union: Y/See WARN | PDF: https://dam.assets.ohio.gov/image/upload/jfs.ohio.gov/warn/WARN%202025/PSAAirlines.pdf
Ohio,"FedEx Supply Chain, Inc",Lima/Allen,8/28/2025,10/31/2025,56,Closure,Phone: (901) 570-1225 | Union: N | PDF: https://dam.assets.ohio.gov/image/upload/jfs.ohio.gov/warn/WARN%202025/FedExSupplyChainInc.pdf
Ohio,"JBT, Marel",Columbus/Franklin,8/27/2025,02/27/2026-08/31/2026,50,Closure,Phone: 614-253-8590 | Union: N | PDF: https://dam.assets.ohio.gov/image/upload/jfs.ohio.gov/warn/WARN%202025/JBTMarel.pdf
Ohio,"Fellers, LLC",Sharonville/Hamilton,8/27/2025,10/24/2025,1,Closure,Phone: (918) 621-4412 | Union: N | PDF: https://dam.assets.ohio.gov/image/upload/jfs.ohio.gov/warn/WARN%202025/FellersLLC1.pdf
Ohio,First Student,Cincinnati/Hamilton,8/18/2025 8/15/2025,8/20/2025,39 part time,Layoff,Phone: (513) 814-9069 | Union: Teamsters Local 100 | PDF: https://dam.assets.ohio.gov/image/upload/jfs.ohio.gov/warn/WARN%202025/FirstStudent2.pdf
Ohio,Trilogy Plastics,Alliance/Stark,7/31/2025,09/30/2025-10/14/2025,153,Closure,Phone: (574) 968-6724 | Union: N | PDF: https://dam.assets.ohio.gov/image/upload/jfs.ohio.gov/warn/WARN%202025/TrilogyPlastics.pdf
Ohio,"INEOS ABS USA, LLC",Addyston/Hamilton,7/23/2025 5/30/2025,08/1/2025-03/30/2026,82,Closure,"Phone: (513) 467-2595 | Union: International Chemical Worker's Union Council, Local 561 C | PDF: https://dam.assets.ohio.gov/image/upload/jfs.ohio.gov/warn/WARN%202025/INEOSABCUSALLC.pdf"
Ohio,"Sarepta Therapeutics, Inc.",Columbus/Franklin,7/16/2025,7/18/2025,80,Layoff,Union: N | PDF: https://dam.assets.ohio.gov/image/upload/jfs.ohio.gov/warn/WARN%202025/SareptaTherapeuticsInc.pdf
Ohio,CAM Industrial Solutions US M&T Inc.,Lima/Allen,7/11/2025,8/1/2025,95,Layoff,Phone: (587) 200-5068 | Union: Multiple/See WARN | PDF: https://dam.assets.ohio.gov/image/upload/jfs.ohio.gov/warn/WARN%202025/CAMIndustrialSolutionsUSM_TInc.pdf
Ohio,"Fellers, LLC",Columbus/Franklin,7/9/2025,9/12/2025,2,Closure,Phone: (918) 621-4412 | Union: N | PDF: https://dam.assets.ohio.gov/image/upload/jfs.ohio.gov/warn/WARN%202025/FellersLLC.pdf
Ohio,"Ohio Eagle Distributing, LLC",West Chester/Butler,7/7/2025,9/8/2025,178,Closure,Phone: (513) 539-8483 | Union: Butler: Teamster Local 1199; Allen: International Brethren of Teamsters Local 908 | PDF: https://dam.assets.ohio.gov/image/upload/jfs.ohio.gov/warn/WARN%202025/OhioEagleDistributingLLC.pdf
Ohio,"Quality Built, LLC",Cincinnati/Hamilton,7/7/2025,7/3/2025,1,Closure,Phone: (800) 547-5125 | Union: N | PDF: https://dam.assets.ohio.gov/image/upload/jfs.ohio.gov/warn/WARN%202025/QualityBuiltLLC.pdf
Ohio,International Paper,Marion/Marion,6/26/2025,9/1/2025,107,Closure,Phone: (901) 419-4964 | Union: United Steelworkers; Local 1313 | PDF: https://dam.assets.ohio.gov/image/upload/jfs.ohio.gov/warn/WARN%202025/InternationalPaper.pdf
Ohio,Stingray Pressure Pumping,Belmont/Belmont,6/13/2025,8/15/2025,75,Closure,Phone: (405) 394-0146 | Union: N | PDF: https://dam.assets.ohio.gov/image/upload/jfs.ohio.gov/warn/WARN%202025/StingrayPressurePumping.pdf
Ohio,Pixelle Specialty Solutions,Chillicothe/Ross,6/10/2025 4/15/2025,8/10/2025,780,Closure,Phone: (740) 772-0482 | Union: USW 731 & 988 & OPEIU 422 | PDF: https://dam.assets.ohio.gov/image/upload/jfs.ohio.gov/warn/WARN%202025/PixelleSpecialtySolutionsUpdatedWARN.pdf
Ohio,"INOAC Exterior Systems, LLC",Fremont/Sandusky,6/9/2025,8/8/2025,1,Closure,Phone: (419) 332-2713 | Union: N | PDF: https://dam.assets.ohio.gov/image/upload/jfs.ohio.gov/warn/WARN%202025/INOACExteriorSystemsLLC13.pdf
Ohio,Kohl's,Middletown/Butler,6/5/2025,09/12/2025-10/31/2025,768,Closure,Phone: (262) 703-6883 | Union: N | PDF: https://dam.assets.ohio.gov/image/upload/jfs.ohio.gov/warn/WARN%202025/KohlsEFullfillmentCenter.pdf
Ohio,"Insights Training Group, LLC",Cincinnati/Hamilton,6/5/2025,06/11/2025-06/30/2025,103,Closure,Phone: (276) 378-8220 | Union: N | PDF: https://dam.assets.ohio.gov/image/upload/jfs.ohio.gov/warn/WARN%202025/InsightsTrainingGroupLLCUpdated.pdf
Ohio,Insight Behavioral Consulting,Westlake & Berea/Cuyahoga,6/4/2025,06/04/2025 & 06/06/2025,92,Layoff,Phone: (440) 568 7373 | Union: N | PDF: https://dam.assets.ohio.gov/image/upload/jfs.ohio.gov/warn/WARN%202025/InsightBehavioralConsulting.pdf
Ohio,"Chugach Training & Educational Solutions, LLC",Cleveland/Cuyahoga,6/2/2025,6/30/2025,95,Closure,Phone: (803) 394-6653 | Union: N | PDF: https://dam.assets.ohio.gov/image/upload/jfs.ohio.gov/warn/WARN%202025/ChugachTrainingEducationalSolutionsLLC.pdf
Ohio,"Morgan Truck Body, LLC",Orrville/Wayne,6/2/2025,8/1/2025,110,Layoffs,Phone: (330) 465-8162 | Union: N | PDF: https://dam.assets.ohio.gov/image/upload/jfs.ohio.gov/warn/WARN%202025/MorganTruckBodyLLC.pdf
Ohio,"INOAC Exterior Systems, LLC",Fremont/Sandusky,6/2/2025,7/29/2025,2,Closure,Phone: (419) 332-2713 | Union: N | PDF: https://dam.assets.ohio.gov/image/upload/jfs.ohio.gov/warn/WARN%202025/INOACExteriorSystemsLLC12.pdf
Ohio,Crothall Healthcare,West Chester/Butler,5/22/2025,7/25/2025,61,Closure,Phone: (336) 327-0294 | Union: AFSCME Ohio Council 8 | PDF: https://dam.assets.ohio.gov/image/upload/jfs.ohio.gov/warn/WARN%202025/CrothallHealthcareWestChester.pdf
Ohio,Crothall Healthcare,Cincinnati/Hamilton,5/22/2025,7/25/2025,239,Closure,Phone: (336) 327-0294 | Union: AFSCME Ohio Council 8 | PDF: https://dam.assets.ohio.gov/image/upload/jfs.ohio.gov/warn/WARN%202025/CrothallHealthcareCincinnati.pdf
Ohio,Morrison Healthcare,Cincinnati/Hamilton,5/22/2025,7/25/2025,201,Closure,Phone: (813) 951-0490 | Union: AFSCME Ohio Council 8 | PDF: https://dam.assets.ohio.gov/image/upload/jfs.ohio.gov/warn/WARN%202025/MorrisonHeathcareCincinnati.pdf
Ohio,Morrison Healthcare,West Chester/Butler,5/22/2025,7/25/2025,55,Closure,Phone: (813) 951-0490 | Union: AFSCME Ohio Council 8 | PDF: https://dam.assets.ohio.gov/image/upload/jfs.ohio.gov/warn/WARN%202025/MorrisonHealthcareWestChester.pdf
Ohio,"INOAC Exterior Systems, LLC",Fremont/Sandusky,5/19/2025,7/15/2025,2,Closure,Phone: (419) 332-2713 | Union: N | PDF: https://dam.assets.ohio.gov/image/upload/jfs.ohio.gov/warn/WARN%202025/INOACExterirSystemsLLC11.pdf
Ohio,East Ohio Regional Hospital,Martins Ferry/Belmont,5/15/2025,5/23/2025,11,Layoff,Phone: (740) 633-4390 | Union: N | PDF: https://dam.assets.ohio.gov/image/upload/jfs.ohio.gov/warn/WARN%202025/EastOhioRegionalHospital.pdf
Ohio,Oerlikon Balzers Coating USA Inc.,Brunswick/Medina,5/15/2025,8/1/2025,11,Closure,Phone: (248) 225-2185 | Union: N | PDF: https://dam.assets.ohio.gov/image/upload/jfs.ohio.gov/warn/WARN%202025/OerlikonBalzersCoatingUSAInc.pdf
Ohio,"Navitor, Inc",Coldwater/Mercer,5/15/2025,7/18/2025; 7/31/2025; 9/30/2025; 12/31/2025,83,Closure,Phone: (507) 304-6310 | Union: N | PDF: https://dam.assets.ohio.gov/image/upload/jfs.ohio.gov/warn/WARN%202025/UpdatedNavitorInc5162025.pdf
Ohio,"INOAC Exterior Systems, LLC",Fremont/Sandusky,5/14/2025,7/13/2025,1,Closure,Phone: (419) 332-2713 | Union: N | PDF: https://dam.assets.ohio.gov/image/upload/jfs.ohio.gov/warn/WARN%202025/INOACExteriorSystemsLLC10.pdf
Ohio,"INOAC Exterior Systems, LLC",Fremont/Sandusky,5/13/2025,7/12/2025,3,Closure,Phone: (419) 332-2713 | Union: N | PDF: https://dam.assets.ohio.gov/image/upload/jfs.ohio.gov/warn/WARN%202025/INOACExteriorSystemsLLC9.pdf
Ohio,National Oilwell Varco,Dayton/Montgomery,5/7/2025,05/08/2025-12/31/2025,127,Closure,Phone: (346) 452-9372 | Union: International Association of Machinists and Aerospace Workers | PDF: https://dam.assets.ohio.gov/image/upload/jfs.ohio.gov/warn/WARN%202025/NationalOilwellVarco.pdf
Ohio,"INOAC Exterior Systems, LLC",Fremont/Sandusky,5/7/2025,7/2/2025,9,Closure,Phone: (419) 332-2713 | Union: N | PDF: https://dam.assets.ohio.gov/image/upload/jfs.ohio.gov/warn/WARN%202025/INOACExteriorSystemsLLC8.pdf
Ohio,Kraton,Tuscarawas/Dover,5/7/2025,07/07/2025-07/21/2025,91,Closure,Phone: (740) 777-2718 | Union: International Chemical Workers Union #20d | PDF: https://dam.assets.ohio.gov/image/upload/jfs.ohio.gov/warn/WARN%202025/Kraton.pdf
Ohio,United Parcel Service (UPS),Middleburg Heights/Cuyahoga,5/2/2025,7/1/2025,98 Part-time Workers,Layoff,Phone: (717) 974-5564 | Union: International Brotherhood of Teamsters Local 407 | PDF: https://dam.assets.ohio.gov/image/upload/jfs.ohio.gov/warn/WARN%202025/UPSParttimePAWs.pdf
Ohio,"Galion Pointe Nursing & Rehab, LLC",Galion/Crawford,5/1/2025,7/1/2025,60,Closure,Phone: (740) 262-3653 | Union: SEIU District 1199 | PDF: https://dam.assets.ohio.gov/image/upload/jfs.ohio.gov/warn/WARN%202025/GalionPointeNursingRehabLLC.pdf
Ohio,Dana,Lima/Allen,4/30/2025,06/30/2025-12/31/2025,295,Closure,"Phone: (852) 242-2761 | Union: International Union, United Automobile, Aerospace and Agricultural Implement Workers of America, UAW Local No. 1765 | PDF: https://dam.assets.ohio.gov/image/upload/jfs.ohio.gov/warn/WARN%202025/Dana.pdf"
Ohio,"INOAC Exterior Systems, LLC",Fremont/Sandusky,4/21/2025,6/16/2025,1,Closure,Phone: (419) 332-2713 | Union: N | PDF: https://dam.assets.ohio.gov/image/upload/jfs.ohio.gov/warn/WARN%202025/INOACExteriorSystemsLLC7.pdf
Ohio,"Amplify Bio, LLC",West Jefferson/Madison,4/15/2025,4/4/2025,212,Closure,Phone: (937) 648-3840 | Union: N | PDF: https://dam.assets.ohio.gov/image/upload/jfs.ohio.gov/warn/WARN%202025/AmplifyBioLLC.pdf
Ohio,"Metalco USA, LLC",Canton/Stark,4/8/2025,6/5/2025,71,Closure,Phone: (440) 451-9244 | Union: N | PDF: https://dam.assets.ohio.gov/image/upload/jfs.ohio.gov/warn/WARN%202025/MATALCOUSALLC.pdf
Ohio,"INOAC Exterior Systems, LLC",Fremont/Sandusky,4/4/2025,6/3/2025,11,Closure,Phone: (419) 332-2713 | Union: N | PDF: https://dam.assets.ohio.gov/image/upload/jfs.ohio.gov/warn/WARN%202025/INOACExteriorSystemsLLC6.pdf
Ohio,Washington Prime Group,Westerville/Franklin,4/2/2025,06/02/2025-03/31/2026,139,Layoff,Phone: (614) 887-5639 | Union: N | PDF: https://dam.assets.ohio.gov/image/upload/jfs.ohio.gov/warn/WARN%202025/WashingtonPrimeGroup.pdf
Ohio,"Graphic Packaging International, LLC",Middletown/Butler,4/1/2025,5/31/2025,136,Closure,Phone: (513) 424-4117 | Union: USW Local 1973 | PDF: https://dam.assets.ohio.gov/image/upload/jfs.ohio.gov/warn/WARN%202025/GraphicPackagingInternationalLLC.pdf
Ohio,Insight Foundation of Hillside,Warren/Trumbull,3/28/2025,3/28/2025,143,Layoff,"Phone: (312) 567-2039 | Union: AFSCME, Ohio Council 8, American Federation of State, County and Municipal Employees, AFL-CIO | PDF: https://dam.assets.ohio.gov/image/upload/jfs.ohio.gov/warn/WARN%202025/InsightFoundationofHillside.pdf"
