state,company,city,notice_date,layoff_date,employees_affected,closure_type,notes,NOTICE_DATE,JOB_SITE_NAME,COUNTY_NAME,WDA_NAME,TOTAL_LAYOFF_NUMBER,LayOff_Date,WFDD_RECEIVED_DATE,CITY_NAME
Texas,,,,,,,,01/28/2022,Amentum,Bowie,North East Texas WDA,178.0,03/27/2022,01/28/2022,New Boston
Texas,,,,,,,,01/06/2022,"Stearns Lending, LLC - Corporate Dr.",Denton,North Central Texas WDA,348.0,03/13/2022,01/06/2022,Lewisville
Texas,,,,,,,,12/16/2021,"Monitronics International, Inc. dba Brinks Home",Dallas,Dallas County WDA,42.0,12/17/2021,12/20/2021,Dallas
Texas,,,,,,,,12/13/2021,Central Freight Lines - San Antonio,Bexar,Alamo WDA,66.0,12/17/2021,12/16/2021,San Antonio
Texas,,,,,,,,12/13/2021,Central Freight Lines,McLennan,Heart of Texas WDA,153.0,12/13/2021,12/16/2021,Waco
Texas,,,,,,,,12/13/2021,Central Freight Lines - Houston,Harris,Gulf Coast WDA,162.0,12/13/2021,12/16/2021,Houston
Texas,,,,,,,,12/13/2021,"Central Freight Lines, Inc.",Tarrant,Tarrant County WDA,292.0,12/13/2021,12/16/2021,Ft. Worth
Texas,,,,,,,,12/06/2021,"Change Healthcare Operations, LLC",Hunt,North Central WDA,145.0,02/04/2022,12/06/2021,Greenville
Texas,,,,,,,,11/30/2021,Laredo Transit Management-El Metro Transit,Webb,South Texas WDA,168.0,01/31/2022,12/02/2021,Laredo
Texas,,,,,,,,11/23/2021,"Marshal S. Frumin, M.D.",Fort Bend,Gulf Coast WDA,6.0,12/31/2021,12/02/2021,Sugar Land
Texas,,,,,,,,11/13/2021,Cypress Creek Emergency Medical Services,Montgomery,Gulf Coast WDA,102.0,11/13/2021,11/23/2021,Spring
Texas,,,,,,,,11/04/2021,Zillow Group,Dallas,Dallas County WDA,32.0,01/03/2022,11/04/2021,Coppell
Texas,,,,,,,,11/04/2021,YMCA - Waco,McLennan,Heart of Texas WDA,127.0,12/31/2021,11/04/2021,Waco
Texas,,,,,,,,10/29/2021,"Odle Management Group, LLC",El Paso,Borderplexjobs WDA,134.0,10/25/2021,10/29/2021,El Paso
Texas,,,,,,,,10/11/2021,Luminant Mining Co.-Martin Lake Liberty Mine,Rusk,East Texas WDA,160.0,12/26/2021,11/08/2021,Tatum
Texas,,,,,,,,09/30/2021,InterContinental-Stephen F Austin,Travis,Capital Area WDA,35.0,11/30/2020,03/05/2021,Austin
Texas,,,,,,,,09/27/2021,NPL,Dallas,Dallas County WDA,60.0,10/16/2021,09/29/2021,Garland
Texas,,,,,,,,09/27/2021,NPL - Shiloh Rd.,Dallas,Dallas County WDA,6.0,10/16/2021,09/29/2021,Garland
Texas,,,,,,,,09/22/2021,The Children's Shelter-Family Tapestry,Bexar,Alamo WDA,41.0,11/20/2021,10/11/2021,San Antonio
Texas,,,,,,,,09/09/2021,CEVA Logistics - Raytheon Facility,Denton,North Central Texas WDA,87.0,11/09/2021,09/27/2021,Carrollton
Texas,,,,,,,,09/09/2021,Disney Streaming Technology LLC,Montgomery,Gulf Coast WDA,63.0,11/10/2021,09/16/2021,The Woodlands
Texas,,,,,,,,09/09/2021,The Woodlands Enterprises LLC,Montgomery,Gulf Coast WDA,181.0,11/10/2021,09/15/2021,The Woodlands
Texas,,,,,,,,08/30/2021,Amentum,Bowie,North East Texas WDA,92.0,10/29/2021,09/14/2021,New Boston
Texas,,,,,,,,08/30/2021,Leidos-Killeen,Bell,Central Texas WDA,60.0,09/29/2021,08/30/2021,Killeen
Texas,,,,,,,,08/17/2021,Basic Energy Services-Denver City,Yoakum,South Plains WDA,57.0,10/19/2021,08/20/2021,Denver City
Texas,,,,,,,,08/17/2021,Basic Energy Services-Andrews2,Andrews,Permian Basin WDA,63.0,10/19/2021,08/20/2021,Andrews
Texas,,,,,,,,08/17/2021,Basic Energy Services-Big Springs2,Howard,Permian Basin WDA,135.0,10/19/2021,08/20/2021,Big Spring
Texas,,,,,,,,08/17/2021,Basic Energy Services-Ft Worth-ALM Regent,Tarrant,Tarrant County WDA,120.0,10/19/2021,08/20/2021,Ft. Worth
Texas,,,,,,,,08/17/2021,Basic Energy Services-Andrews,Andrews,Permian Basin WDA,63.0,10/19/2021,08/20/2021,Andrews
Texas,,,,,,,,08/17/2021,Basic Energy Services-Kennedy,Karnes,Gulf Coast WDA,56.0,10/19/2021,08/20/2021,Kenedy
Texas,,,,,,,,08/09/2021,Garland Behvaioral Hospital,Dallas,Dallas County WDA,119.0,10/07/2021,08/10/2021,Garland
Texas,,,,,,,,08/02/2021,Interim Healthcare-San Antonio,Bexar,Alamo WDA,366.0,10/01/2021,08/03/2021,San Antonio
Texas,,,,,,,,07/27/2021,Crothall Healthcare-DeTar Healthcare,Victoria,Golden Crescent WDA,53.0,09/30/2021,08/03/2021,Victoria
Texas,,,,,,,,07/27/2021,Management & Training-Willacy County Regional Correction,Willacy,Lower Rio Grande Valley WDA,186.0,09/30/2021,07/27/2021,Raymondville
Texas,,,,,,,,07/09/2021,U.S. Well Services - Pleasanton,Atascosa,Alamo WDA,66.0,09/07/2021,07/12/2021,Pleasanton
Texas,,,,,,,,07/07/2021,Tranter Inc.,Wichita,North Texas WDA,78.0,10/01/2021,07/08/2021,Wichita Falls
Texas,,,,,,,,07/03/2021,Fusion Logistics Inc. - Farmers Branch,Dallas,Dallas County WDA,57.0,07/12/2021,07/08/2021,Farmers Branch
Texas,,,,,,,,07/03/2021,Fusion Logistics Inc. - Garland,Dallas,Dallas County WDA,50.0,07/12/2021,07/08/2021,Garland
Texas,,,,,,,,07/03/2021,Fusion Logistics  Inc. - Coppell,Dallas,Dallas County WDA,62.0,07/12/2021,07/08/2021,Coppell
Texas,,,,,,,,07/03/2021,Fusion Logistics Inc. - Ft. Worth,Tarrant,Tarrant County WDA,53.0,07/12/2021,07/08/2021,Fort Worth
Texas,,,,,,,,07/03/2021,Fusion Logistics Inc. - Houston,Harris,Gulf Coast WDA,81.0,07/12/2021,07/08/2021,Houston
Texas,,,,,,,,07/01/2021,"XPO Logistics Supply Chain, LLC",Bexar,Alamo WDA,29.0,08/02/2021,07/23/2021,San Antonio
Texas,,,,,,,,07/01/2021,Turner Industries,Lamar,North East Texas WDA,250.0,08/30/2021,07/01/2021,Paris
Texas,,,,,,,,07/01/2021,"Cubic ITS, Inc.",Fort Bend,Gulf Coast WDA,80.0,02/01/2022,07/01/2021,Sugar Land
Texas,,,,,,,,06/16/2021,TT Electronics (IRC),Nueces,Coastal Bend WDA,73.0,08/16/2021,06/17/2021,Corpus Christi
Texas,,,,,,,,06/07/2021,Electronic Transaction Consultants,Dallas,Dallas County WDA,34.0,07/30/2021,06/07/2021,Richardson
Texas,,,,,,,,06/04/2021,"Progenity, Inc.-Fuller Dr.",Dallas,Dallas County WDA,51.0,08/06/2021,06/07/2021,Irving
Texas,,,,,,,,06/01/2021,"Progenity, Inc.-Riverside Dr.",Dallas,Dallas County WDA,9.0,08/06/2021,06/07/2021,Irving
Texas,,,,,,,,06/01/2021,"Mattison Pathology, LLP dba Avero Diagnotics",Dallas,Dallas County WDA,5.0,08/06/2021,06/07/2021,Irving
Texas,,,,,,,,06/01/2021,Mattison Pathollogy dba Avero Diagnotics-Fuller Dr.,Dallas,Dallas County WDA,7.0,08/06/2021,06/07/2021,Irving
Texas,,,,,,,,06/01/2021,Katerra Inc.,Dallas,Dallas County WDA,82.0,06/04/2021,06/01/2021,Carrollton
Texas,,,,,,,,06/01/2021,Texas Golden Peanut -ADM,El Paso,Borderplexjobs WDA,86.0,07/31/2021,06/03/2021,El Paso
Texas,,,,,,,,05/25/2021,Probe Group North America LLC,Denton,North Central Texas WDA,150.0,07/31/2021,06/01/2021,Lewisville
Texas,,,,,,,,05/24/2021,U.S. Well Services,Tom Green,Concho Valley WDA,63.0,07/20/2021,05/24/2021,San Angelo
Texas,,,,,,,,05/24/2021,U.S. Well Services - Pleasanton,Atascosa,Alamo WDA,108.0,07/23/2021,05/24/2021,Pleasanton
Texas,,,,,,,,05/20/2021,"AIG Technologies, Inc.",Tarrant,Tarrant County WDA,63.0,07/23/2021,05/20/2021,Fort Worth
Texas,,,,,,,,05/14/2021,The Children's Shelter-Family Tapestry,Bexar,Alamo WDA,93.0,07/13/2021,05/17/2021,San Antonio
Texas,,,,,,,,05/12/2021,Legend Energy Service-Longview,Gregg,East Texas WDA,118.0,05/15/2021,05/20/2021,Longview
Texas,,,,,,,,05/06/2021,Aramark Educational Services - SFASU,Nacogdoches,Deep East Texas WDA,215.0,06/30/2021,05/20/2021,Nacogdoches
Texas,,,,,,,,05/03/2021,Reliant Transportation,Denton,North Central Texas WDA,259.0,05/29/2021,05/04/2021,Justin
Texas,,,,,,,,05/03/2021,Reliant Transportation-West Lot,Tarrant,Tarrant County WDA,98.0,05/29/2021,05/04/2021,Haslet
