state,company,city,notice_date,layoff_date,employees_affected,closure_type,notes,zip,lwib_area
Vermont,Wyeth Nutrition,,"Apr 15, 2004",,,WARN,,,00 - Vermont Workforce Investment Area
Vermont,Wyeth Nutrition,,"Dec 10, 2003",,,WARN,,,00 - Vermont Workforce Investment Area
Vermont,U. S. Tsubaki,,"Dec 02, 2003",,,WARN,,,00 - Vermont Workforce Investment Area
Vermont,Moore Wallace/RR Donnelley Company,,"Aug 19, 2004",,,WARN,,,00 - Vermont Workforce Investment Area
Vermont,Belden CDT,,"Aug 10, 2004",,,WARN,,,00 - Vermont Workforce Investment Area
Vermont,Vermont Tubbs Inc.,,"Jul 31, 2003",,,WARN,,,00 - Vermont Workforce Investment Area
Vermont,Home Depot,,"Jun 03, 2008",,,WARN,,,00 - Vermont Workforce Investment Area
Vermont,CFM Corporation/Vermont Castings,,"Apr 09, 2008",,,WARN,,,00 - Vermont Workforce Investment Area
Vermont,Trident LLC/ClearSource,,"May 15, 2008",,,WARN,,,00 - Vermont Workforce Investment Area
Vermont,Computer Sciences Corporation,,"Sep 28, 2007",,,WARN,,,00 - Vermont Workforce Investment Area
Vermont,S I international,,"Sep 28, 2007",,,WARN,,,00 - Vermont Workforce Investment Area
Vermont,MetroGroup Marketing Services,,"Oct 11, 2007",,,WARN,,,00 - Vermont Workforce Investment Area
Vermont,Standard Register,,"Jan 26, 2007",,,WARN,,,00 - Vermont Workforce Investment Area
Vermont,Morrisville Center-Genesis Healthcare,,"Jan 02, 2007",,,WARN,,,00 - Vermont Workforce Investment Area
Vermont,Capital City Press,,"Jan 03, 2006",,,WARN,,,00 - Vermont Workforce Investment Area
Vermont,Capital City Press,,"Sep 14, 2005",,,WARN,,,00 - Vermont Workforce Investment Area
Vermont,"Husky Injection Molding Systems, Inc.",,"Jul 12, 2005",,,WARN,,,00 - Vermont Workforce Investment Area
Vermont,Specialty Filaments Inc.,,"May 13, 2005",,,WARN,,,00 - Vermont Workforce Investment Area
Vermont,Monahan Filaments,,"Sep 04, 2009",,,WARN,,,00 - Vermont Workforce Investment Area
Vermont,"Saputo Cheese USA, Inc.",,"Oct 22, 2008",,,WARN,,,00 - Vermont Workforce Investment Area
Vermont,Rutland Plywood Corporation,,"Nov 19, 2008",,,WARN,,,00 - Vermont Workforce Investment Area
Vermont,"Lydall Thermal/Acoustical, Inc.",,"Jan 30, 2009",,,WARN,,,00 - Vermont Workforce Investment Area
Vermont,Plasan Carbon Composites,,"Jan 15, 2009",,,WARN,,,00 - Vermont Workforce Investment Area
Vermont,Monahan Filaments,,"Apr 17, 2009",,,WARN,,,00 - Vermont Workforce Investment Area
Vermont,Ethan Allen,,"Jun 24, 2009",,,WARN,,,00 - Vermont Workforce Investment Area
Vermont,Penn Traffic Company,,"Nov 18, 2009",,,WARN,,,00 - Vermont Workforce Investment Area
Vermont,Northrop Grumman,St. Albans,"Sep 27, 2010",,,WARN,,05478,00 - Vermont Workforce Investment Area
Vermont,"Stanley Associates, Inc.",St Albans,"Sep 29, 2010",,,WARN,,05478,00 - Vermont Workforce Investment Area
Vermont,Flextronics Americas LLC,,"May 25, 2011",,,WARN,,,00 - Vermont Workforce Investment Area
Vermont,Skyline Corporation,,"Aug 08, 2011",,,WARN,,,00 - Vermont Workforce Investment Area
Vermont,Hostess Brands,,"May 04, 2012",,,WARN,,,00 - Vermont Workforce Investment Area
Vermont,"MVM, Inc.",,"Mar 08, 2013",,,WARN,,,00 - Vermont Workforce Investment Area
Vermont,Energizer,,"Mar 18, 2013",,,WARN,,,00 - Vermont Workforce Investment Area
Vermont,Plasan Carbon Composites Inc.,,"Mar 14, 2014",,,WARN,,,00 - Vermont Workforce Investment Area
Vermont,Kennametal,,"Mar 31, 2014",,,WARN,,,00 - Vermont Workforce Investment Area
Vermont,Entergy,,"Nov 18, 2014",,,WARN,,,00 - Vermont Workforce Investment Area
