state,company,city,notice_date,layoff_date,employees_affected,closure_type,notes,address,contact_person,collective_bargaining_unit
Virginia,Hilex Poly Co. LLC,"Henrico, VA",05/11/2026,07/14/2026,117,Closure,,"2800 Sprouse Drive, 2800 Sprouse Dr., VA 23231",Christi Dees,
Virginia,Ideal US Talent Worker OpCo LLC,"Statewide, VA",05/01/2026,07/01/2026,776,Layoff,,"3311 East Old Shakopee Road, Bloomington, MN 55425",Lauren Eagles,
Virginia,"Diamond Transportation Services, Inc.","Fairfax County, VA",05/12/2026,05/12/2026,144,Closure,,"6851 Industrial Road, Springfield, VA 22151",Meloney Castro,"Amalgamated Transit Union Local 689; Mr. Raymond Jackson-President;2701 Whitney Place, Forestville, MD 20747; rjackson@atu689.org"
Virginia,"KBR Wyle Services, LLC","Accomack, VA",05/01/2026,06/30/2026,118,Layoff,,"GSDC-Wallops Island Facility, Wallops Island, VA 23337",Ann Ward,"Larry Battle, District Business Rep. International Assoc. of Machinist & Aerospace Workers, DL 74,5307 E. Virginia Beach Blvd., Norfolk, VA 23502 (only 55 are represented)"
Virginia,"LumLiq2, LLC, d/b/a Lumber Liquidators","Henrico, VA",05/04/2026,06/30/2026,64,Closure,,"6115 Engineered Wood Way, Sandston, VA 23150",Scott Clatur,
Virginia,Milestone Technologies Inc,"Henrico, VA",04/29/2026,06/28/2026,50,Closure,,"6200 Technology Boulevard, Sandston, VA 23150",Rose,
Virginia,GXO,"Henrico, VA",04/27/2026,06/30/2026,66,Closure,,"4000 Technology Ct, Bldg A, Sandston, VA 23150",ShaLa Woods,
Virginia,"Republic National Distributing Company, LLC","Ashland, VA",04/23/2026,06/21/2026,428,Closure,,"14038 Washington Highway, Ashland, VA 23005",Camille Davis,
Virginia,Oliver Inc.,"North Chesterfield, VA",04/21/2026,07/26/2026,72,Closure,,"8001 Greenpine Road, North Chesterfield , VA 23237",Diane Ferrante,
Virginia,Central Garden & Pet,"Richmond, VA",04/14/2026,04/14/2026,94,Closure,,"5701 Eastport Blvd, Richmond, VA 23231",Erin Carr,
Virginia,Voyant Beauty,"Roanoke, VA",04/10/2026,06/30/2026,95,Closure,,"4411 Plantation Road NE, Roanoke, VA 24012",Marbella Duran,
Virginia,PCA (Packaging Corporation of America),"Richmond, VA",03/31/2026,06/01/2026,109,Closure,,"2000 Richmond Highway, Richmond, VA 23224",Mark Romaniuk,"United Steel, Paper and Forestry, Rubber, Manufacturing, Energy, Allied Industrial and service Workers International Union, Local No. 8-699"
Virginia,BAE Systems,"Vienna, VA",03/19/2026,03/18/2026,119,Layoff,,"47479 Holiday Drive, Sterling, VA 20166",Leriza Alcancia,
